year	eeacellcode	specieskey	species	establishmentmeans	degreeofestablishment	pathway	occurrences	distinctobservers
2024	1kmE3996N3087	2880539	Quercus rubra				1	1
2024	1kmE3997N3088	3054357	Juglans nigra				2	1
2024	1kmE3997N3090	3054368	Juglans regia				1	1
2024	1kmE3997N3100	2880539	Quercus rubra				1	1
2024	1kmE3997N3104	5333294	Castanea sativa				1	1
2024	1kmE3997N3104	8313153	Quercus palustris				1	1
2024	1kmE3998N3090	3054368	Juglans regia				1	1
2024	1kmE3998N3092	5333294	Castanea sativa				1	1
2024	1kmE3998N3097	3054368	Juglans regia				1	1
2024	1kmE3998N3104	2880539	Quercus rubra				2	1
2024	1kmE3998N3104	3054368	Juglans regia				1	1
2024	1kmE3998N3104	5333294	Castanea sativa				1	1
2024	1kmE3998N3105	3054368	Juglans regia				2	1
2024	1kmE3998N3105	8313153	Quercus palustris				1	1
2024	1kmE3998N3109	5333294	Castanea sativa				3	1
2024	1kmE3998N3111	2880539	Quercus rubra				1	1
2024	1kmE3998N3111	8313153	Quercus palustris				1	1
2024	1kmE3998N3117	2880539	Quercus rubra				1	1
2024	1kmE3998N3118	2880539	Quercus rubra				1	1
2024	1kmE3999N3090	3054368	Juglans regia				1	1
2024	1kmE3999N3099	2880539	Quercus rubra				1	1
2024	1kmE3999N3100	2880539	Quercus rubra				2	1
2024	1kmE3999N3100	5333294	Castanea sativa				1	1
2024	1kmE3999N3101	2880539	Quercus rubra				2	1
2024	1kmE3999N3102	3054368	Juglans regia				1	1
2024	1kmE3999N3104	2880539	Quercus rubra				2	1
2024	1kmE3999N3105	5333294	Castanea sativa				1	1
2024	1kmE3999N3106	2880539	Quercus rubra				1	1
2024	1kmE3999N3107	2880539	Quercus rubra				1	1
2024	1kmE3999N3112	3054368	Juglans regia				1	1
2024	1kmE4000N3087	2876049	Corylus maxima				1	1
2024	1kmE4000N3091	8313153	Quercus palustris				1	1
2024	1kmE4000N3102	2876213	Alnus glutinosa				1	1
2024	1kmE4000N3102	2880539	Quercus rubra				1	1
2024	1kmE4000N3102	8313153	Quercus palustris				2	1
2024	1kmE4000N3103	2880539	Quercus rubra				2	1
2024	1kmE4000N3103	2882316	Fagus sylvatica				5	1
2024	1kmE4000N3104	2880539	Quercus rubra				2	1
2024	1kmE4000N3104	5333294	Castanea sativa				2	1
2024	1kmE4000N3105	3054357	Juglans nigra				1	1
2024	1kmE4000N3105	3054368	Juglans regia				1	1
2024	1kmE4000N3106	2880539	Quercus rubra				3	1
2024	1kmE4000N3106	8313153	Quercus palustris				1	1
