"","search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches","gbif_id","orig_tiplabel"
"1","alfaroa costaricensis","Alfaroa costaricensis",FALSE,1,199041,FALSE,"",1,7310550,"Alfaroa costaricensis"
"2","alfaroa manningii","Alfaroa manningii",FALSE,1,199049,FALSE,"",1,4205554,"Alfaroa manningii"
"3","alfaroa williamsii","Alfaroa williamsii",FALSE,1,1064109,FALSE,"",1,7310534,"Alfaroa williamsii"
"4","allocasuarina acutivalvis","Allocasuarina acutivalvis",FALSE,1,769753,FALSE,"",1,2891875,"Allocasuarina acutivalvis"
"5","allocasuarina brachystachya","Allocasuarina brachystachya",FALSE,1,769751,FALSE,"",1,2891867,"Allocasuarina brachystachya"
"6","allocasuarina campestris","Allocasuarina campestris",FALSE,1,769759,FALSE,"",1,2891864,"Allocasuarina campestris"
"7","allocasuarina corniculata","Allocasuarina corniculata",FALSE,1,769757,FALSE,"",1,2891825,"Allocasuarina corniculata"
"8","allocasuarina crassa","Allocasuarina crassa",FALSE,1,246724,FALSE,"",1,2891839,"Allocasuarina crassa"
"9","allocasuarina decaisneana","Allocasuarina decaisneana",FALSE,1,370501,FALSE,"",1,2891829,"Allocasuarina decaisneana"
"10","allocasuarina decussata","Allocasuarina decussata",FALSE,1,738934,FALSE,"",1,2891850,"Allocasuarina decussata"
"11","allocasuarina dielsiana","Allocasuarina dielsiana",FALSE,1,246730,FALSE,"",1,2891900,"Allocasuarina dielsiana"
"12","allocasuarina distyla","Allocasuarina distyla",FALSE,1,246716,FALSE,"",1,9676223,"Allocasuarina distyla"
"13","allocasuarina duncanii","Allocasuarina duncanii",FALSE,1,246718,FALSE,"",1,2891847,"Allocasuarina duncanii"
"14","allocasuarina emuina","Allocasuarina emuina",FALSE,1,246720,FALSE,"",1,2891842,"Allocasuarina emuina"
"15","allocasuarina eriochlamys","Allocasuarina eriochlamys",FALSE,1,246722,FALSE,"",1,2891845,"Allocasuarina eriochlamys"
"16","allocasuarina fibrosa","Allocasuarina fibrosa",FALSE,1,246738,FALSE,"",1,2891894,"Allocasuarina fibrosa"
"17","allocasuarina fraseriana","Allocasuarina fraseriana",FALSE,1,246740,FALSE,"",1,2891834,"Allocasuarina fraseriana"
"18","allocasuarina glareicola","Allocasuarina glareicola",FALSE,1,821443,FALSE,"",1,2891866,"Allocasuarina glareicola"
"19","allocasuarina globosa","Allocasuarina globosa",FALSE,1,821441,FALSE,"",1,2891897,"Allocasuarina globosa"
"20","allocasuarina grampiana","Allocasuarina grampiana",FALSE,1,821447,FALSE,"",1,2891831,"Allocasuarina grampiana"
"21","allocasuarina grevilleoides","Allocasuarina grevilleoides",FALSE,1,821445,FALSE,"",1,2891906,"Allocasuarina grevilleoides"
"22","allocasuarina gymnanthera","Allocasuarina gymnanthera",FALSE,1,821451,FALSE,"",1,2891899,"Allocasuarina gymnanthera"
"23","allocasuarina helmsii","Allocasuarina helmsii",FALSE,1,821449,FALSE,"",1,2891882,"Allocasuarina helmsii"
"24","allocasuarina huegeliana","Allocasuarina huegeliana",FALSE,1,821455,FALSE,"",1,2891886,"Allocasuarina huegeliana"
"25","allocasuarina humilis","Allocasuarina humilis",FALSE,1,821453,FALSE,"",1,2891890,"Allocasuarina humilis"
"26","allocasuarina inophloia","Allocasuarina inophloia",FALSE,1,821438,FALSE,"",1,2891853,"Allocasuarina inophloia"
"27","allocasuarina lehmanniana","Allocasuarina lehmanniana",FALSE,1,738928,FALSE,"",1,2891855,"Allocasuarina lehmanniana"
"28","allocasuarina littoralis","Allocasuarina littoralis",FALSE,1,738936,FALSE,"",1,2891918,"Allocasuarina littoralis"
"29","allocasuarina luehmannii","Allocasuarina luehmannii",FALSE,1,821436,FALSE,"",1,2891843,"Allocasuarina luehmannii"
"30","allocasuarina mackliniana","Allocasuarina mackliniana",FALSE,1,296914,FALSE,"",1,2891908,"Allocasuarina mackliniana"
"31","allocasuarina media","Allocasuarina media",FALSE,1,296916,FALSE,"",1,2891878,"Allocasuarina media"
"32","allocasuarina microstachya","Allocasuarina microstachya",FALSE,1,296910,FALSE,"",1,2891857,"Allocasuarina microstachya"
"33","allocasuarina misera","Allocasuarina misera",FALSE,1,296912,FALSE,"",1,2891896,"Allocasuarina misera"
"34","allocasuarina monilifera","Allocasuarina monilifera",FALSE,1,296922,FALSE,"",1,2891888,"Allocasuarina monilifera"
"35","allocasuarina muelleriana","Allocasuarina muelleriana",FALSE,1,79355,FALSE,"",1,2891848,"Allocasuarina muelleriana"
"36","allocasuarina nana","Allocasuarina nana",FALSE,1,296924,FALSE,"",1,2891832,"Allocasuarina nana"
"37","allocasuarina ophiolitica","Allocasuarina ophiolitica",FALSE,1,296918,FALSE,"",1,2891836,"Allocasuarina ophiolitica"
"38","allocasuarina paludosa","Allocasuarina paludosa",FALSE,1,296920,FALSE,"",1,2891880,"Allocasuarina paludosa"
"39","allocasuarina paradoxa","Allocasuarina paradoxa",FALSE,1,296906,FALSE,"",1,2891822,"Allocasuarina paradoxa"
"40","allocasuarina pinaster","Allocasuarina pinaster",FALSE,1,296908,FALSE,"",1,2891837,"Allocasuarina pinaster"
"41","allocasuarina portuensis","Allocasuarina portuensis",FALSE,1,872046,FALSE,"",1,2891870,"Allocasuarina portuensis"
"42","allocasuarina pusilla","Allocasuarina pusilla",FALSE,1,872044,FALSE,"",1,2891827,"Allocasuarina pusilla"
"43","allocasuarina rigida","Allocasuarina rigida",FALSE,1,872042,FALSE,"",1,2891884,"Allocasuarina rigida"
"44","allocasuarina rupicola","Allocasuarina rupicola",FALSE,1,872040,FALSE,"",1,2891852,"Allocasuarina rupicola"
"45","allocasuarina scleroclada","Allocasuarina scleroclada",FALSE,1,872038,FALSE,"",1,2891909,"Allocasuarina scleroclada"
"46","allocasuarina simulans","Allocasuarina simulans",FALSE,1,872036,FALSE,"",1,2891911,"Allocasuarina simulans"
"47","allocasuarina spinosissima","Allocasuarina spinosissima",FALSE,1,872034,FALSE,"",1,2891892,"Allocasuarina spinosissima"
"48","allocasuarina tessellata","Allocasuarina tessellata",FALSE,1,872032,FALSE,"",1,2891914,"Allocasuarina tessellata"
"49","allocasuarina thalassoscopica","Allocasuarina thalassoscopica",FALSE,1,872030,FALSE,"",1,2891824,"Allocasuarina thalassoscopica"
"50","allocasuarina thuyoides","Allocasuarina thuyoides",FALSE,1,872028,FALSE,"",1,2891840,"Allocasuarina thuyoides"
"51","allocasuarina tortiramula","Allocasuarina tortiramula",FALSE,1,347521,FALSE,"",1,2891877,"Allocasuarina tortiramula"
"52","allocasuarina torulosa","Allocasuarina torulosa",FALSE,1,738938,FALSE,"",1,2891868,"Allocasuarina torulosa"
"53","allocasuarina trichodon","Allocasuarina trichodon",FALSE,1,347523,FALSE,"",1,2891871,"Allocasuarina trichodon"
"54","allocasuarina verticillata","Allocasuarina verticillata",FALSE,1,79349,FALSE,"",1,2891902,"Allocasuarina verticillata"
"55","allocasuarina zephyrea","Allocasuarina zephyrea",FALSE,1,347525,FALSE,"",1,2891905,"Allocasuarina zephyrea"
"56","alnus acuminata","Alnus acuminata",FALSE,1,117369,FALSE,"",1,2876131,"Alnus acuminata"
"57","alnus alnobetula","Alnus alnobetula",FALSE,1,456839,FALSE,"",1,8956987,"Alnus alnobetula"
"58","alnus cordata","Alnus cordata",FALSE,1,117349,FALSE,"",1,2876607,"Alnus cordata"
"59","alnus cremastogyne","Alnus cremastogyne",FALSE,1,939699,FALSE,"",1,2876182,"Alnus cremastogyne"
"60","alnus fauriei","Alnus fauriei",FALSE,1,177842,FALSE,"",1,2876601,"Alnus fauriei"
"61","alnus ferdinandi-coburgii","Alnus ferdinandi-coburgii",FALSE,1,939696,FALSE,"",1,2876174,"Alnus ferdinandi-coburgii"
"62","alnus firma","Alnus firma",FALSE,1,117347,FALSE,"",1,2876489,"Alnus firma"
"63","alnus formosana","Alnus formosana",FALSE,1,639094,FALSE,"",1,2876184,"Alnus formosana"
"64","alnus glutinosa","Alnus glutinosa",FALSE,1,791130,FALSE,"",1,2876213,"Alnus glutinosa"
"65","alnus henryi","Alnus henryi",FALSE,1,258130,FALSE,"",1,2876181,"Alnus henryi"
"66","alnus hirsuta","Alnus hirsuta",FALSE,1,639096,FALSE,"",1,2876105,"Alnus hirsuta"
"67","alnus japonica","Alnus japonica",FALSE,1,639105,FALSE,"",2,2876196,"Alnus japonica"
"68","alnus jorullensis","Alnus jorullensis",FALSE,1,639085,FALSE,"",2,2876167,"Alnus jorullensis"
"69","alnus maritima","Alnus maritima",FALSE,1,526375,FALSE,"",1,2876595,"Alnus maritima"
"70","alnus matsumurae","Alnus matsumurae",FALSE,1,639087,FALSE,"",1,2876592,"Alnus matsumurae"
"71","alnus nepalensis","Alnus nepalensis",FALSE,1,639089,FALSE,"",1,2876187,"Alnus nepalensis"
"72","alnus nitida","Alnus nitida",FALSE,1,353450,FALSE,"",1,2876550,"Alnus nitida"
"73","alnus oblongifolia","Alnus oblongifolia",FALSE,1,939709,FALSE,"",1,2876516,"Alnus oblongifolia"
"74","alnus orientalis","Alnus orientalis",FALSE,1,939665,FALSE,"",1,2876552,"Alnus orientalis"
"75","alnus pendula","Alnus pendula",FALSE,1,639092,FALSE,"",1,2876518,"Alnus pendula"
"76","alnus rhombifolia","Alnus rhombifolia",FALSE,1,639115,FALSE,"",1,2876207,"Alnus rhombifolia"
"77","alnus rubra","Alnus rubra",FALSE,1,639117,FALSE,"",2,2876176,"Alnus rubra"
"78","alnus serrulata","Alnus serrulata",FALSE,1,939663,FALSE,"",1,2876528,"Alnus serrulata"
"79","alnus serrulatoides","Alnus serrulatoides",FALSE,1,177840,FALSE,"",1,2876509,"Alnus serrulatoides"
"80","alnus sieboldiana","Alnus sieboldiana",FALSE,1,787742,FALSE,"",1,2876524,"Alnus sieboldiana"
"81","alnus subcordata","Alnus subcordata",FALSE,1,66017,FALSE,"",1,2876563,"Alnus subcordata"
"82","alnus trabeculosa","Alnus trabeculosa",FALSE,1,495516,FALSE,"",1,2876191,"Alnus trabeculosa"
"83","alnus x mayrii","Alnus x mayrii",FALSE,1,3929937,FALSE,"hybrid",1,2876370,"Alnus x mayrii"
"84","betula alleghaniensis","Betula alleghaniensis",FALSE,1,452595,FALSE,"",1,5331779,"Betula alleghaniensis"
"85","betula alnoides","Betula alnoides",FALSE,1,921963,FALSE,"",1,5331519,"Betula alnoides"
"86","betula apoiensis","Betula apoiensis",FALSE,1,115389,FALSE,"",1,7849092,"Betula apoiensis"
"87","betula calcicola","Betula calcicola",FALSE,1,115387,FALSE,"",1,5331858,"Betula calcicola"
"88","betula chichibuensis","Betula chichibuensis",FALSE,1,115385,FALSE,"",1,5332175,"Betula chichibuensis"
"89","betula chinensis","Betula chinensis",FALSE,1,115381,FALSE,"",1,5331880,"Betula chinensis"
"90","betula corylifolia","Betula corylifolia",FALSE,1,115379,FALSE,"",1,5331639,"Betula corylifolia"
"91","betula costata","Betula costata",FALSE,1,495506,FALSE,"",1,5331601,"Betula costata"
"92","betula davurica","Betula davurica",FALSE,1,495502,FALSE,"",1,5669384,"Betula davurica"
"93","betula delavayi","Betula delavayi",FALSE,1,115377,FALSE,"",1,5332051,"Betula delavayi"
"94","betula ermanii","Betula ermanii",FALSE,1,567488,FALSE,"",1,5332231,"Betula ermanii"
"95","betula fruticosa","Betula fruticosa",FALSE,1,567485,FALSE,"",2,5332101,"Betula fruticosa"
"96","betula glandulosa","Betula glandulosa",FALSE,1,452593,FALSE,"",1,5331640,"Betula glandulosa"
"97","betula globispica","Betula globispica",FALSE,1,115375,FALSE,"",1,5331911,"Betula globispica"
"98","betula grossa","Betula grossa",FALSE,1,115372,FALSE,"",1,5331797,"Betula grossa"
"99","betula humilis","Betula humilis",FALSE,1,567478,FALSE,"",2,5331629,"Betula humilis"
"100","betula kweichowensis","Betula insignis",FALSE,1,921956,TRUE,"",1,5331851,"Betula kweichowensis"
"101","betula lenta","Betula lenta",FALSE,1,567472,FALSE,"",2,5331709,"Betula lenta"
"102","betula luminifera","Betula luminifera",FALSE,1,115369,FALSE,"",1,5332182,"Betula luminifera"
"103","betula maximowicziana","Betula maximowicziana",FALSE,1,554287,FALSE,"",1,5332256,"Betula maximowicziana"
"104","betula medwediewii","Betula medwediewii",FALSE,1,689576,FALSE,"",1,5331762,"Betula medwediewii"
"105","betula michauxii","Betula michauxii",FALSE,1,689578,FALSE,"",1,5332206,"Betula michauxii"
"106","betula nana","Betula nana",FALSE,1,567481,FALSE,"",1,5332004,"Betula nana"
"107","betula nigra","Betula nigra",FALSE,1,267696,FALSE,"",1,5331532,"Betula nigra"
"108","betula occidentalis","Betula occidentalis",FALSE,1,240966,FALSE,"",1,5332055,"Betula occidentalis"
"109","betula papyrifera","Betula papyrifera",FALSE,1,267725,FALSE,"",1,5332120,"Betula papyrifera"
"110","betula pendula","Betula pendula",FALSE,1,267719,FALSE,"",1,5331916,"Betula pendula"
"111","betula populifolia","Betula populifolia",FALSE,1,46581,FALSE,"",2,8184083,"Betula populifolia"
"112","betula pubescens","Betula pubescens",FALSE,1,456846,FALSE,"",1,9118014,"Betula pubescens"
"113","betula pumila","Betula pumila",FALSE,1,921959,FALSE,"",1,5331824,"Betula pumila"
"114","betula raddeana","Betula raddeana",FALSE,1,689582,FALSE,"",1,5331907,"Betula raddeana"
"115","betula schmidtii","Betula schmidtii",FALSE,1,46585,FALSE,"",1,5331904,"Betula schmidtii"
"116","betula utilis","Betula utilis",FALSE,1,922610,FALSE,"",1,5332157,"Betula utilis"
"117","canacomyrica monticola","Canacomyrica monticola",FALSE,1,1063059,FALSE,"",1,3745176,"Canacomyrica monticola"
"118","carpinus betulus","Carpinus betulus",FALSE,1,466468,FALSE,"",1,2875818,"Carpinus betulus"
"119","carpinus caroliniana","Carpinus caroliniana",FALSE,1,466474,FALSE,"",1,2875842,"Carpinus caroliniana"
"120","carpinus cordata","Carpinus cordata",FALSE,1,799877,FALSE,"",1,2875893,"Carpinus cordata"
"121","carpinus fangiana","Carpinus fangiana",FALSE,1,785459,FALSE,"",1,2875922,"Carpinus fangiana"
"122","carpinus japonica","Carpinus japonica",FALSE,1,864523,FALSE,"",1,2875927,"Carpinus japonica"
